Label Value,Code,Description
Hauora / Oranga,H,Improving Health and Social Wellbeing
Indigenous Innovation,I,Contributing to Economic Growth through Distinctive R&D
Mātauranga,M,Exploring indigenous knowledge and RS&T
Taiao,T,Achieving environmental sustainability through Iwi and Hāpu relationships with land and sea
