Label Value,Code,Description
310303 Ecological physiology,310303,
310304 Freshwater ecology,310304,
310305 Marine and estuarine ecology (incl. marine ichthyology),310305,
310306 Palaeoecology,310306,
310307 Population ecology,310307,
310308 Terrestrial ecology,310308,
310399 Ecology not elsewhere classified,310399,
3104 Evolutionary biology,3104,"This group covers evolutionary biology, including biogeography and adaptation."
310401 Animal systematics and taxonomy,310401,
310402 Biogeography and phylogeography,310402,
310403 Biological adaptation,310403,
310404 Evolution of developmental systems,310404,
310405 Evolutionary ecology,310405,
310406 Evolutionary impacts of climate change,310406,
310407 Host-parasite interactions,310407,
310408 Life histories,310408,
310409 Microbial taxonomy,310409,
310410 Phylogeny and comparative analysis,310410,
310411 Plant and fungus systematics and taxonomy,310411,
310412 Speciation and extinction,310412,
310499 Evolutionary biology not elsewhere classified,310499,
3105 Genetics,3105,This group covers genetics and heredity.
310501 Anthropological genetics,310501,
310502 Cell and nuclear division,310502,
310503 Developmental genetics (incl. sex determination),310503,
310504 Epigenetics (incl. genome methylation and epigenomics),310504,
310505 Gene expression (incl. microarray and other genome-wide approaches),310505,
310506 Gene mapping,310506,
310507 Genetic immunology,310507,
310508 Genome structure and regulation,310508,
310509 Genomics,310509,
310510 Molecular evolution,310510,
310511 Neurogenetics,310511,
310599 Genetics not elsewhere classified,310599,
3106 Industrial biotechnology,3106,This group covers industrial biotechnology .
310601 Biocatalysis and enzyme technology,310601,
"310602 Bioprocessing, bioproduction and bioproducts",310602,
310603 Fermentation,310603,
310604 Industrial biotechnology diagnostics (incl. biosensors),310604,
310605 Industrial microbiology (incl. biofeedstocks),310605,
310606 Industrial molecular engineering of nucleic acids and proteins,310606,
310607 Nanobiotechnology,310607,
310699 Industrial biotechnology not elsewhere classified,310699,
3107 Microbiology,3107,"This group covers microbiology, including bacteriology, parasitology and virology."
310701 Bacteriology,310701,
310702 Infectious agents,310702,
310703 Microbial ecology,310703,
310704 Microbial genetics,310704,
310705 Mycology,310705,
310706 Virology,310706,
310799 Microbiology not elsewhere classified,310799,
3108 Plant biology,3108,"This group covers plant biology.
It includes:
• plant pathology other than that associated with plant protection procedures used in agriculture and horticulture; and
• phycology (including algae and marine grasses)."
310801 Phycology (incl. marine grasses),310801,
310802 Plant biochemistry,310802,
310803 Plant cell and molecular biology,310803,
310804 Plant developmental and reproductive biology,310804,
310805 Plant pathology,310805,
310806 Plant physiology,310806,
310899 Plant biology not elsewhere classified,310899,
3109 Zoology,3109,This group covers zoology.
310901 Animal behaviour,310901,
310902 Animal cell and molecular biology,310902,
310903 Animal developmental and reproductive biology,310903,
310904 Animal diet and nutrition,310904,
310905 Animal immunology,310905,
310906 Animal neurobiology,310906,
310907 Animal physiological ecology,310907,
310908 Animal physiology - biophysics,310908,
310909 Animal physiology - cell,310909,
310910 Animal physiology - systems,310910,
310911 Animal structure and function,310911,
310912 Comparative physiology,310912,
310913 Invertebrate biology,310913,
310914 Vertebrate biology,310914,
310999 Zoology not elsewhere classified,310999,
3199 Other biological sciences,3199,This group covers biological sciences not elsewhere classified. It includes forensic biology and global change biology.
319901 Forensic biology,319901,
