Label Value,Code,Description
030602 Chemical Thermodynamics and Energetics,030602,
030603 Colloid and Surface Chemistry,030603,
030604 Electrochemistry,030604,
030605 Solution Chemistry,030605,
030606 Structural Chemistry and Spectroscopy,030606,
030607 Transport Properties and Non-Equilibrium Processes,030607,
030699 Physical Chemistry not elsewhere classified,030699,
0307 Theoretical and Computational Chemistry,0307,
030701 Quantum Chemistry,030701,
030702 Radiation and Matter,030702,
030703 Reaction Kinetics and Dynamics,030703,
030704 Statistical Mechanics in Chemistry,030704,
030799 Theoretical and Computational Chemistry not elsewhere classified,030799,
0399 Other Chemical Sciences,0399,
039901 Environmental Chemistry (incl. Atmospheric Chemistry),039901,
039902 Forensic Chemistry,039902,
039903 Industrial Chemistry,039903,
039904 Organometallic Chemistry,039904,
039999 Chemical Sciences not elsewhere classified,039999,
04 Earth Sciences,04,
0401 Atmospheric Sciences,0401,
040101 Atmospheric Aerosols,040101,
040102 Atmospheric Dynamics,040102,
040103 Atmospheric Radiation,040103,
040104 Climate Change Processes,040104,
040105 Climatology (excl. Climate Change Processes),040105,
040106 Cloud Physics,040106,
040107 Meteorology,040107,
040108 Tropospheric and Stratospheric Physics,040108,
040199 Atmospheric Sciences not elsewhere classified,040199,
0402 Geochemistry,0402,
040201 Exploration Geochemistry,040201,
040202 Inorganic Geochemistry,040202,
040203 Isotope Geochemistry,040203,
040204 Organic Geochemistry,040204,
040299 Geochemistry not elsewhere classified,040299,
0403 Geology,0403,
040301 Basin Analysis,040301,
040302 Extraterrestrial Geology,040302,
040303 Geochronology,040303,
040304 Igneous and Metamorphic Petrology,040304,
040305 Marine Geoscience,040305,
040306 Mineralogy and Crystallography,040306,
040307 Ore Deposit Petrology,040307,
040308 Palaeontology (incl. Palynology),040308,
040309 Petroleum and Coal Geology,040309,
040310 Sedimentology,040310,
040311 Stratigraphy (incl. Biostratigraphy and Sequence Stratigraphy),040311,
040312 Structural Geology,040312,
040313 Tectonics,040313,
040314 Volcanology,040314,
040399 Geology not elsewhere classified,040399,
0404 Geophysics,0404,
040401 Electrical and Electromagnetic Methods in Geophysics,040401,
040402 Geodynamics,040402,
040403 Geophysical Fluid Dynamics,040403,
040404 Geothermics and Radiometrics,040404,
040405 Gravimetrics,040405,
040406 Magnetism and Palaeomagnetism,040406,
040407 Seismology and Seismic Exploration,040407,
040499 Geophysics not elsewhere classified,040499,
0405 Oceanography,0405,
040501 Biological Oceanography,040501,
040502 Chemical Oceanography,040502,
040503 Physical Oceanography,040503,
040599 Oceanography not elsewhere classified,040599,
0406 Physical Geography and Environmental Geoscience,0406,
040601 Geomorphology and Regolith and Landscape Evolution,040601,
040602 Glaciology,040602,
040603 Hydrogeology,040603,
040604 Natural Hazards,040604,
040605 Palaeoclimatology,040605,
040606 Quaternary Environments,040606,
040607 Surface Processes,040607,
040608 Surfacewater Hydrology,040608,
040699 Physical Geography and Environmental Geoscience not elsewhere classified,040699,
0499 Other Earth Sciences,0499,
049999 Earth Sciences not elsewhere classified,049999,
05 Environmental Sciences,05,
0501 Ecological Applications,0501,
050101 Ecological Impacts of Climate Change,050101,
050102 Ecosystem Function,050102,
050103 Invasive Species Ecology,050103,
050104 Landscape Ecology,050104,
050199 Ecological Applications not elsewhere classified,050199,
0502 Environmental Science and Management,0502,
050201 Aboriginal and Torres Strait Islander Environmental Knowledge,050201,
050202 Conservation and Biodiversity,050202,
050203 Environmental Education and Extension,050203,
050204 Environmental Impact Assessment,050204,
050205 Environmental Management,050205,
050206 Environmental Monitoring,050206,
050207 Environmental Rehabilitation (excl. Bioremediation),050207,
050208 Maori Environmental Knowledge,050208,
050209 Natural Resource Management,050209,
050210 Pacific Peoples Environmental Knowledge,050210,
050211 Wildlife and Habitat Management,050211,
050299 Environmental Science and Management not elsewhere classified,050299,
0503 Soil Sciences,0503,
050301 Carbon Sequestration Science,050301,
050302 Land Capability and Soil Degradation,050302,
050303 Soil Biology,050303,
050304 Soil Chemistry (excl. Carbon Sequestration Science),050304,
050305 Soil Physics,050305,
050399 Soil Sciences not elsewhere classified,050399,
0599 Other Environmental Sciences,0599,
059999 Environmental Sciences not elsewhere classified,059999,
06 Biological Sciences,06,
0601 Biochemistry and Cell Biology,0601,
060101 Analytical Biochemistry,060101,
060102 Bioinformatics,060102,
"060103 Cell Development, Proliferation and Death",060103,
060104 Cell Metabolism,060104,
060105 Cell Neurochemistry,060105,
"060106 Cellular Interactions (incl. Adhesion, Matrix, Cell Wall)",060106,
060107 Enzymes,060107,
060108 Protein Trafficking,060108,
060109 Proteomics and Intermolecular Interactions (excl. Medical Proteomics),060109,
060110 Receptors and Membrane Biology,060110,
060111 Signal Transduction,060111,
060112 Structural Biology (incl. Macromolecular Modelling),060112,
060113 Synthetic Biology,060113,
060114 Systems Biology,060114,
060199 Biochemistry and Cell Biology not elsewhere classified,060199,
0602 Ecology,0602,
060201 Behavioural Ecology,060201,
060202 Community Ecology (excl. Invasive Species Ecology),060202,
060203 Ecological Physiology,060203,
060204 Freshwater Ecology,060204,
060205 Marine and Estuarine Ecology (incl. Marine Ichthyology),060205,
060206 Palaeoecology,060206,
060207 Population Ecology,060207,
060208 Terrestrial Ecology,060208,
060299 Ecology not elsewhere classified,060299,
0603 Evolutionary Biology,0603,
060301 Animal Systematics and Taxonomy,060301,
060302 Biogeography and Phylogeography,060302,
060303 Biological Adaptation,060303,
060304 Ethology and Sociobiology,060304,
060305 Evolution of Developmental Systems,060305,
060306 Evolutionary Impacts of Climate Change,060306,
060307 Host-Parasite Interactions,060307,
060308 Life Histories,060308,
060309 Phylogeny and Comparative Analysis,060309,
060310 Plant Systematics and Taxonomy,060310,
060311 Speciation and Extinction,060311,
060399 Evolutionary Biology not elsewhere classified,060399,
0604 Genetics,0604,
060401 Anthropological Genetics,060401,
060402 Cell and Nuclear Division,060402,
060403 Developmental Genetics (incl. Sex Determination),060403,
060404 Epigenetics (incl. Genome Methylation and Epigenomics),060404,
060405 Gene Expression (incl. Microarray and other genome-wide approaches),060405,
060406 Genetic Immunology,060406,
060407 Genome Structure and Regulation,060407,
060408 Genomics,060408,
060409 Molecular Evolution,060409,
060410 Neurogenetics,060410,
"060411 Population, Ecological and Evolutionary Genetics",060411,
060412 Quantitative Genetics (incl. Disease and Trait Mapping Genetics),060412,
060499 Genetics not elsewhere classified,060499,
0605 Microbiology,0605,
060501 Bacteriology,060501,
060502 Infectious Agents,060502,
060503 Microbial Genetics,060503,
060504 Microbial Ecology,060504,
060505 Mycology,060505,
060506 Virology,060506,
060599 Microbiology not elsewhere classified,060599,
0606 Physiology,0606,
060601 Animal Physiology - Biophysics,060601,
060602 Animal Physiology - Cell,060602,
060603 Animal Physiology - Systems,060603,
060604 Comparative Physiology,060604,
060699 Physiology not elsewhere classified,060699,
0607 Plant Biology,0607,
060701 Phycology (incl. Marine Grasses),060701,
060702 Plant Cell and Molecular Biology,060702,
060703 Plant Developmental and Reproductive Biology,060703,
060704 Plant Pathology,060704,
060705 Plant Physiology,060705,
060799 Plant Biology not elsewhere classified,060799,
0608 Zoology,0608,
060801 Animal Behaviour,060801,
060802 Animal Cell and Molecular Biology,060802,
060803 Animal Developmental and Reproductive Biology,060803,
060804 Animal Immunology,060804,
060805 Animal Neurobiology,060805,
060806 Animal Physiological Ecology,060806,
060807 Animal Structure and Function,060807,
060808 Invertebrate Biology,060808,
060809 Vertebrate Biology,060809,
060899 Zoology not elsewhere classified,060899,
0699 Other Biological Sciences,0699,
069901 Forensic Biology,069901,
069902 Global Change Biology,069902,
069999 Biological Sciences not elsewhere classified,069999,
07 Agricultural and Veterinary Sciences,07,
"0701 Agriculture, Land and Farm Management",0701,
070101 Agricultural Land Management,070101,
070102 Agricultural Land Planning,070102,
070103 Agricultural Production Systems Simulation,070103,
070104 Agricultural Spatial Analysis and Modelling,070104,
070105 Agricultural Systems Analysis and Modelling,070105,
"070106 Farm Management, Rural Management and Agribusiness",070106,
070107 Farming Systems Research,070107,
070108 Sustainable Agricultural Development,070108,
"070199 Agriculture, Land and Farm Management not elsewhere classified",070199,
0702 Animal Production,0702,
070201 Animal Breeding,070201,
070202 Animal Growth and Development,070202,
070203 Animal Management,070203,
070204 Animal Nutrition,070204,
070205 Animal Protection (Pests and Pathogens),070205,
070206 Animal Reproduction,070206,
070207 Humane Animal Treatment,070207,
070299 Animal Production not elsewhere classified,070299,
0703 Crop and Pasture Production,0703,
070301 Agro-ecosystem Function and Prediction,070301,
070302 Agronomy,070302,
070303 Crop and Pasture Biochemistry and Physiology,070303,
070304 Crop and Pasture Biomass and Bioproducts,070304,
070305 Crop and Pasture Improvement (Selection and Breeding),070305,
070306 Crop and Pasture Nutrition,070306,
070307 Crop and Pasture Post Harvest Technologies (incl. Transportation and Storage),070307,
"070308 Crop and Pasture Protection (Pests, Diseases and Weeds)",070308,
070399 Crop and Pasture Production not elsewhere classified,070399,
0704 Fisheries Sciences,0704,
070401 Aquaculture,070401,
070402 Aquatic Ecosystem Studies and Stock Assessment,070402,
070403 Fisheries Management,070403,
