Label Value,Code,Description
840305 Concentrating Processes of Base Metal Ores (excl. Aluminium and Iron Ores),840305,
840306 Production of Unrefined Precious Metal Ingots and Concentrates,840306,
840399 First Stage Treatment of Ores and Minerals not elsewhere classified,840399,
849801 Management of Gaseous Waste From Mineral Resource Activities (excl. Greenhouse Gases),849801,
849802 Management of Greenhouse Gas Emissions from Mineral Resource Activities,849802,
849803 Management of Liquid Waste from Mineral Resource Activities (excl. Water),849803,
849804 Management of Solid Waste from Mineral Resource Activities,849804,
849805 Management of Water Consumption by Mineral Resource Activities,849805,
849899 Environmentally Sustainable Mineral Resource Activities not elsewhere classified,849899,
849999 Mineral Resources (excl. Energy Resources) not elsewhere classified,849999,
850101 Coal Exploration,850101,
850102 Geothermal Exploration,850102,
850103 Oil and Gas Exploration,850103,
850104 Oil Shale and Tar Sands Exploration,850104,
850105 Uranium Exploration,850105,
850199 Energy Exploration not elsewhere classified,850199,
850201 Coal Mining and Extraction,850201,
850202 Geothermal Energy Extraction,850202,
850203 Oil and Gas Extraction,850203,
850204 Oil Shale and Tar Sands Mining and Extraction,850204,
850205 Uranium Mining and Extraction,850205,
850299 Mining and Extraction of Energy Resources not elsewhere classified,850299,
850301 Hydrogen Production from Fossil Fuels,850301,
850302 Hydrogen Production from Nuclear Energy,850302,
850303 Hydrogen Production from Renewable Energy,850303,
850304 Oil and Gas Refining,850304,
850305 Preparation of Black Coal,850305,
850306 Preparation of Brown Coal (Lignite),850306,
850307 Preparation of Oil Shale and Tar Sands,850307,
850308 Preparation of Uranium,850308,
850309 Production of Biofuels (Biomass),850309,
850399 Preparation and Production of Energy Sources not elsewhere classified,850399,
850401 Fuel Cells (excl. Solid Oxide),850401,
850402 Hydrogen-based Energy Systems (incl. Internal Hydrogen Combustion Engines),850402,
850403 Nuclear Energy,850403,
850404 Solid Oxide Fuel Cells,850404,
850405 Transformation of Black Coal into Electricity,850405,
850406 Transformation of Brown Coal (Lignite) into Electricity,850406,
850407 Transformation of Coal into Gaseous Fuels,850407,
850408 Transformation of Coal into Liquid Fuels,850408,
850409 Transformation of Gas into Electricity,850409,
850410 Transformation of Gas into Liquid Fuels,850410,
850499 Energy Transformation not elsewhere classified,850499,
850501 Biofuel (Biomass) Energy,850501,
850502 Geothermal Energy,850502,
850503 Hydro-Electric Energy,850503,
850504 Solar-Photovoltaic Energy,850504,
850505 Solar-Thermal Electric Energy,850505,
850506 Solar-Thermal Energy,850506,
850507 Tidal Energy,850507,
850508 Wave Energy,850508,
850509 Wind Energy,850509,
850599 Renewable Energy not elsewhere classified,850599,
850601 Energy Services and Utilities,850601,
850602 Energy Storage (excl. Hydrogen),850602,
850603 Energy Systems Analysis,850603,
850604 Energy Transmission and Distribution (excl. Hydrogen),850604,
850605 Hydrogen Distribution,850605,
850606 Hydrogen Storage,850606,
"850699 Energy Storage, Distribution and Supply not elsewhere classified",850699,
850701 Commercial Energy Conservation and Efficiency,850701,
850702 Energy Conservation and Efficiency in Transport,850702,
850703 Industrial Energy Conservation and Efficiency,850703,
850704 Residential Energy Conservation and Efficiency,850704,
850799 Energy Conservation and Efficiency not elsewhere classified,850799,
859801 Management of Gaseous Waste from Energy Activities (excl. Greenhouse Gases),859801,
859802 Management of Greenhouse Gas Emissions from Electricity Generation,859802,
859803 Management of Greenhouse Gas Emissions from Energy Activities (excl. Electricity Generation),859803,
859804 Management of Liquid Waste from Energy Activities (excl. Water),859804,
859805 Management of Solid Waste from Energy Activities,859805,
859806 Management of Water Consumption by Energy Activities,859806,
859899 Environmentally Sustainable Energy Activities not elsewhere classified,859899,
859999 Energy not elsewhere classified,859999,
860101 Bakery Products,860101,
860102 Beverages (excl. Fruit Juices),860102,
860103 Carcass Meat (incl. Fish and Seafood),860103,
860104 Flour Mill and Cereal Food,860104,
860105 Nutraceuticals and Functional foods,860105,
860106 Oils and Fats (incl. Margarines),860106,
860107 Processed Fish and Seafood Products,860107,
860108 Processed Fruit and Vegetable Products (incl. Fruit Juices),860108,
860109 Processed Meat Products,860109,
860110 Soy Products,860110,
860111 Sugar and Confectionery Products,860111,
860199 Processed Food Products and Beverages (excl. Dairy Products) not elsewhere classified,860199,
860201 Butter and Milk-Derived Fats and Oils (excl. Cream),860201,
860202 Casein,860202,
860203 Cheese,860203,
"860204 Processed Milk and Cream (incl. Powder, Evaporated and Condensed)",860204,
860205 Whey,860205,
860299 Dairy Products not elsewhere classified,860299,
"860301 Essential Oils (e.g. Tea Tree, Eucalyptus, Lavender, Peppermint, Boronia, Sandalwood)",860301,
860302 Organic Fertilisers,860302,
"860303 Plant Extracts (e.g. Pyrethrum, Alkaloids, Jojoba Oil)",860303,
860304 Prepared Animal Feed,860304,
"860399 Processed Non-Food Agricultural Products (excl. Wood, Paper and Fibre) not elsewhere classified",860399,
860401 Clothing,860401,
860402 Cotton Ginning,860402,
"860403 Natural Fibres, Yarns and Fabrics",860403,
860404 Non-Fabric Textiles (e.g. Felt),860404,
"860405 Processed Skins, Leather and Leather Products",860405,
"860406 Synthetic Fibres, Yarns and Fabrics",860406,
860407 Wool Scouring and Top Making,860407,
"860499 Leather Products, Fibre Processing and Textiles not elsewhere classified",860499,
860501 Paper Products (incl. Coated Paper),860501,
860502 Printing and Publishing Processes,860502,
860503 Pulp and Paper,860503,
"860504 Reconstituted Timber Products (e.g. Chipboard, Particleboard)",860504,
860505 Wood Sawing and Veneer,860505,
"860599 Wood, Wood Products and Paper not elsewhere classified",860599,
860601 Industrial Gases,860601,
860602 Inorganic Industrial Chemicals,860602,
860603 Lubricants,860603,
"860604 Organic Industrial Chemicals (excl. Resins, Rubber and Plastics)",860604,
860605 Paints,860605,
860606 Plastics in Primary Forms,860606,
860607 Plastic Products (incl. Construction Materials),860607,
860608 Rubber and Synthetic Resins,860608,
860609 Soaps and Cosmetics,860609,
860699 Industrial Chemicals and Related Products not elsewhere classified,860699,
860701 Animal Protection Chemicals,860701,
860702 Chemical Fertilisers,860702,
860703 Crop Protection Chemicals,860703,
860799 Agricultural Chemicals not elsewhere classified,860799,
860801 Human Biological Preventatives (e.g. Vaccines),860801,
860802 Human Diagnostics,860802,
860803 Human Pharmaceutical Treatments (e.g. Antibiotics),860803,
860899 Human Pharmaceutical Products not elsewhere classified,860899,
860901 Veterinary Biological Preventatives (e.g. Vaccines),860901,
860902 Veterinary Diagnostics,860902,
860903 Veterinary Pharmaceutical Treatments (e.g. Antibiotics),860903,
860999 Veterinary Pharmaceutical Products not elsewhere classified,860999,
861001 Cement Products and Concrete Materials,861001,
861002 Ceramics,861002,
861003 Clay Products,861003,
861004 Plaster and Plaster Products,861004,
861005 Structural Glass and Glass Products,861005,
"861099 Ceramics, Glass and Industrial Mineral Products not elsewhere classified",861099,
861101 Basic Aluminium Products,861101,
861102 Basic Copper Products,861102,
861103 Basic Iron and Steel Products,861103,
861104 Basic Precious Metal Products,861104,
